,id,show_id,type,director,full_name,title,release_year,description,category,won
371,3830,70023961,Movie,Paul Haggis,Don Cheadle,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",MALE SUPPORTING ROLE,False
378,3831,70023961,Movie,Paul Haggis,Matt Dillon,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",CAST IN A MOTION PICTURE,True
385,3831,70023961,Movie,Paul Haggis,Matt Dillon,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",MALE SUPPORTING ROLE,False
389,3832,70023961,Movie,Paul Haggis,Jennifer Esposito,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",CAST IN A MOTION PICTURE,True
409,3833,70023961,Movie,Paul Haggis,William Fichtner,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",CAST IN A MOTION PICTURE,True
412,3834,70023961,Movie,Paul Haggis,Brendan Fraser,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",CAST IN A MOTION PICTURE,True
433,3835,70023961,Movie,Paul Haggis,Terrence Howard,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",CAST IN A MOTION PICTURE,True
460,3837,70023961,Movie,Paul Haggis,Thandie Newton,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",CAST IN A MOTION PICTURE,True
470,3838,70023961,Movie,Paul Haggis,Ryan Phillippe,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",CAST IN A MOTION PICTURE,True
481,3839,70023961,Movie,Paul Haggis,Larenz Tate,Crash,2004,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",CAST IN A MOTION PICTURE,True
548,5701,80175798,Movie,Martin Scorsese,Al Pacino,The Irishman,2019,Hit man Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family in this acclaimed film from Martin Scorsese., MALE ACTOR IN A SUPPORTING ROLE,False
551,5702,80175798,Movie,Martin Scorsese,Joe Pesci,The Irishman,2019,Hit man Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family in this acclaimed film from Martin Scorsese., MALE ACTOR IN A SUPPORTING ROLE,False
594,6466,80175694,Movie,Dee Rees,Jason Clarke,Mudbound,2017,"Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era.",CAST IN A MOTION PICTURE,False
604,6467,80175694,Movie,Dee Rees,Mary J. Blige,Mudbound,2017,"Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era.",CAST IN A MOTION PICTURE,False
606,6467,80175694,Movie,Dee Rees,Mary J. Blige,Mudbound,2017,"Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era.",FEMALE SUPPORT,False
607,6468,80175694,Movie,Dee Rees,Garrett Hedlund,Mudbound,2017,"Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era.",CAST IN A MOTION PICTURE,False
616,6469,80175694,Movie,Dee Rees,Jason Mitchell,Mudbound,2017,"Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era.",CAST IN A MOTION PICTURE,False
626,6470,80175694,Movie,Dee Rees,Rob Morgan,Mudbound,2017,"Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era.",CAST IN A MOTION PICTURE,False
631,6471,80175694,Movie,Dee Rees,Jonathan Banks,Mudbound,2017,"Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era.",CAST IN A MOTION PICTURE,False
635,6796,70117297,Movie,Tom Ford,Colin Firth,A Single Man,2009,This stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death.,MALE LEAD ROLE,False
650,7080,60021796,Movie,Robert Altman,Eileen Atkins,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
667,7081,60021796,Movie,Robert Altman,Bob Balaban,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
687,7082,60021796,Movie,Robert Altman,Alan Bates,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
710,7083,60021796,Movie,Robert Altman,Charles Dance,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
747,7084,60021796,Movie,Robert Altman,Stephen Fry,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
764,7085,60021796,Movie,Robert Altman,Michael Gambon,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
786,7086,60021796,Movie,Robert Altman,Richard E. Grant,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
811,7087,60021796,Movie,Robert Altman,Tom Hollander,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
817,7088,60021796,Movie,Robert Altman,Derek Jacobi,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
845,7089,60021796,Movie,Robert Altman,Kelly Macdonald,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
863,7090,60021796,Movie,Robert Altman,Helen Mirren,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
875,7090,60021796,Movie,Robert Altman,Helen Mirren,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",FEMALE SUPPORTING ROLE,True
886,7091,60021796,Movie,Robert Altman,Jeremy Northam,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
900,7092,60021796,Movie,Robert Altman,Clive Owen,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
934,7093,60021796,Movie,Robert Altman,Ryan Phillippe,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
952,7094,60021796,Movie,Robert Altman,Maggie Smith,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
967,7095,60021796,Movie,Robert Altman,Geraldine Somerville,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
993,7096,60021796,Movie,Robert Altman,Kristin Scott Thomas,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
1019,7097,60021796,Movie,Robert Altman,Sophie Thompson,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
1029,7098,60021796,Movie,Robert Altman,Emily Watson,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
1053,7099,60021796,Movie,Robert Altman,James Wilby,Gosford Park,2001,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",CAST IN A MOTION PICTURE,True
1065,7151,70118779,Movie,Clint Eastwood,Morgan Freeman,Invictus,2009,"After the end of apartheid, newly elected President Nelson Mandela uses the 1995 World Cup rugby matches to unite his people in South Africa.",MALE LEAD ROLE,False
1068,7152,70118779,Movie,Clint Eastwood,Matt Damon,Invictus,2009,"After the end of apartheid, newly elected President Nelson Mandela uses the 1995 World Cup rugby matches to unite his people in South Africa.",MALE SUPPORTING ROLE,False
1088,7304,70100383,Movie,Sam Mendes,Kate Winslet,Revolutionary Road,2008,"April and Frank's marriage unravels when a plan to change their ""perfect"" lives becomes their last hope to escape lives engulfed in emptiness.",FEMALE LEAD ROLE,False
1098,7348,973861,Movie,Billy Bob Thornton,Billy Bob Thornton,Sling Blade,1996,"A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.",CAST IN A MOTION PICTURE,False
1106,7348,973861,Movie,Billy Bob Thornton,Billy Bob Thornton,Sling Blade,1996,"A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.",MALE LEAD ROLE,False
1108,7349,973861,Movie,Billy Bob Thornton,Dwight Yoakam,Sling Blade,1996,"A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.",CAST IN A MOTION PICTURE,False
1118,7350,973861,Movie,Billy Bob Thornton,J.T. Walsh,Sling Blade,1996,"A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.",CAST IN A MOTION PICTURE,False
1129,7351,973861,Movie,Billy Bob Thornton,John Ritter,Sling Blade,1996,"A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.",CAST IN A MOTION PICTURE,False
1139,7352,973861,Movie,Billy Bob Thornton,Lucas Black,Sling Blade,1996,"A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.",CAST IN A MOTION PICTURE,False
1149,7353,973861,Movie,Billy Bob Thornton,Natalie Canerday,Sling Blade,1996,"A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.",CAST IN A MOTION PICTURE,False
1155,7354,973861,Movie,Billy Bob Thornton,James Hampton,Sling Blade,1996,"A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.",CAST IN A MOTION PICTURE,False
1168,7355,973861,Movie,Billy Bob Thornton,Robert Duvall,Sling Blade,1996,"A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.",CAST IN A MOTION PICTURE,False
1188,8447,70202150,Movie,Simon Curtis,Michelle Williams,My Week With Marilyn,2011,"While filming a movie in England, Hollywood icon Marilyn Monroe slips away with a young Brit for a week of self-discovery and frivolity.",FEMALE LEAD ROLE,False
1191,8448,70202150,Movie,Simon Curtis,Kenneth Branagh,My Week With Marilyn,2011,"While filming a movie in England, Hollywood icon Marilyn Monroe slips away with a young Brit for a week of self-discovery and frivolity.",MALE SUPPORTING ROLE,False
1222,8690,80121348,Movie,Barry Jenkins,Trevante Rhodes,Moonlight,2016,"In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.",CAST IN A MOTION PICTURE,False
1225,8691,80121348,Movie,Barry Jenkins,André Holland,Moonlight,2016,"In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.",CAST IN A MOTION PICTURE,False
1236,8692,80121348,Movie,Barry Jenkins,Janelle Monáe,Moonlight,2016,"In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.",CAST IN A MOTION PICTURE,False
1244,8693,80121348,Movie,Barry Jenkins,Ashton Sanders,Moonlight,2016,"In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.",CAST IN A MOTION PICTURE,False
1255,8694,80121348,Movie,Barry Jenkins,Jharrel Jerome,Moonlight,2016,"In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.",CAST IN A MOTION PICTURE,False
1284,8697,80121348,Movie,Barry Jenkins,Naomie Harris,Moonlight,2016,"In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.",CAST IN A MOTION PICTURE,False
1286,8697,80121348,Movie,Barry Jenkins,Naomie Harris,Moonlight,2016,"In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.",FEMALE SUPPORT,False
1292,8698,80121348,Movie,Barry Jenkins,Mahershala Ali,Moonlight,2016,"In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.",CAST IN A MOTION PICTURE,False
1296,8698,80121348,Movie,Barry Jenkins,Mahershala Ali,Moonlight,2016,"In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.",MALE SUPPORT,True
1305,10060,70270362,Movie,Woody Allen,Cate Blanchett,Blue Jasmine,2013,The high life leads to high anxiety for a fashionable New York City homemaker in crisis who finds herself forced to live a more modest lifestyle.,FEMALE LEAD ROLE,True
1317,10141,70100377,Movie,John Patrick Shanley,Meryl Streep,Doubt,2008,"Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil.",CAST IN A MOTION PICTURE,False
1320,10141,70100377,Movie,John Patrick Shanley,Meryl Streep,Doubt,2008,"Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil.",FEMALE LEAD ROLE,True
1326,10142,70100377,Movie,John Patrick Shanley,Philip Seymour Hoffman,Doubt,2008,"Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil.",CAST IN A MOTION PICTURE,False
1331,10142,70100377,Movie,John Patrick Shanley,Philip Seymour Hoffman,Doubt,2008,"Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil.",MALE SUPPORTING ROLE,False
1332,10143,70100377,Movie,John Patrick Shanley,Amy Adams,Doubt,2008,"Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil.",CAST IN A MOTION PICTURE,False
1337,10143,70100377,Movie,John Patrick Shanley,Amy Adams,Doubt,2008,"Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil.",FEMALE SUPPORTING ROLE,False
1343,10144,70100377,Movie,John Patrick Shanley,Viola Davis,Doubt,2008,"Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil.",CAST IN A MOTION PICTURE,False
1346,10144,70100377,Movie,John Patrick Shanley,Viola Davis,Doubt,2008,"Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil.",FEMALE SUPPORTING ROLE,False
1396,10941,70283202,Movie,John Lee Hancock,Emma Thompson,Saving Mr. Banks,2013,"When Walt Disney sets his sights on obtaining the rights to the children's classic ""Mary Poppins,"" the book's author proves a tough nut to crack.",FEMALE LEAD ROLE,False
1420,11979,70024098,Movie,Phil Morrison,Amy Adams,Junebug,2005,"When a big-city art dealer travels to North Carolina to meet her new husband's small-town family, their trip gives rise to a multitude of problems.",FEMALE SUPPORTING ROLE,False
1432,12117,70129374,Movie,Debra Granik,Jennifer Lawrence,Winter'S Bone,2010,"In this unflinching noir drama, a resilient teen goes on the trail of her missing, drug-dealing father when his absence threatens the family's safety.",FEMALE LEAD ROLE,False
1435,12118,70129374,Movie,Debra Granik,John Hawkes,Winter'S Bone,2010,"In this unflinching noir drama, a resilient teen goes on the trail of her missing, drug-dealing father when his absence threatens the family's safety.",MALE SUPPORTING ROLE,False
1449,13714,70135893,Movie,Tom Hooper,Colin Firth,The King'S Speech,2010,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",CAST IN A MOTION PICTURE,True
1458,13714,70135893,Movie,Tom Hooper,Colin Firth,The King'S Speech,2010,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",MALE LEAD ROLE,True
1463,13715,70135893,Movie,Tom Hooper,Geoffrey Rush,The King'S Speech,2010,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",CAST IN A MOTION PICTURE,True
1471,13715,70135893,Movie,Tom Hooper,Geoffrey Rush,The King'S Speech,2010,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",MALE SUPPORTING ROLE,False
1477,13716,70135893,Movie,Tom Hooper,Helena Bonham Carter,The King'S Speech,2010,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",CAST IN A MOTION PICTURE,True
1481,13716,70135893,Movie,Tom Hooper,Helena Bonham Carter,The King'S Speech,2010,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",FEMALE SUPPORTING ROLE,False
1488,13717,70135893,Movie,Tom Hooper,Guy Pearce,The King'S Speech,2010,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",CAST IN A MOTION PICTURE,True
1504,13718,70135893,Movie,Tom Hooper,Timothy Spall,The King'S Speech,2010,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",CAST IN A MOTION PICTURE,True
1510,13719,70135893,Movie,Tom Hooper,Derek Jacobi,The King'S Speech,2010,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",CAST IN A MOTION PICTURE,True
1526,13720,70135893,Movie,Tom Hooper,Jennifer Ehle,The King'S Speech,2010,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",CAST IN A MOTION PICTURE,True
1532,13721,70135893,Movie,Tom Hooper,Anthony Andrews,The King'S Speech,2010,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",CAST IN A MOTION PICTURE,True
1575,13724,70135893,Movie,Tom Hooper,Michael Gambon,The King'S Speech,2010,"In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",CAST IN A MOTION PICTURE,True
1580,14462,80221446,Movie,Rob Marshall,Emily Blunt,Mary Poppins Returns,2018,"In 1930s London, Michael Banks and his three children get some help turning their topsy-turvy world around when his magical childhood nanny reappears.",FEMALE LEAD IN A MOTION PICTURE,False
1591,14490,70189282,Movie,Phyllida Lloyd,Meryl Streep,The Iron Lady,2011,"Margaret Thatcher, the first female prime minister of Britain, navigates a career destined to change the rules of leadership and politics.",FEMALE LEAD ROLE,False
1610,15012,70108777,Movie,Quentin Tarantino,Brad Pitt,Inglourious Basterds,2009,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",CAST IN A MOTION PICTURE,True
1647,15014,70108777,Movie,Quentin Tarantino,Christoph Waltz,Inglourious Basterds,2009,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",CAST IN A MOTION PICTURE,True
1662,15014,70108777,Movie,Quentin Tarantino,Christoph Waltz,Inglourious Basterds,2009,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",MALE SUPPORTING ROLE,True
1669,15015,70108777,Movie,Quentin Tarantino,Eli Roth,Inglourious Basterds,2009,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",CAST IN A MOTION PICTURE,True
1692,15016,70108777,Movie,Quentin Tarantino,Michael Fassbender,Inglourious Basterds,2009,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",CAST IN A MOTION PICTURE,True
1704,15017,70108777,Movie,Quentin Tarantino,Diane Kruger,Inglourious Basterds,2009,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",CAST IN A MOTION PICTURE,True
1715,15017,70108777,Movie,Quentin Tarantino,Diane Kruger,Inglourious Basterds,2009,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",FEMALE SUPPORTING ROLE,False
1720,15018,70108777,Movie,Quentin Tarantino,Daniel Brühl,Inglourious Basterds,2009,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",CAST IN A MOTION PICTURE,True
1750,15019,70108777,Movie,Quentin Tarantino,Til Schweiger,Inglourious Basterds,2009,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",CAST IN A MOTION PICTURE,True
1821,15023,70108777,Movie,Quentin Tarantino,Sylvester Groth,Inglourious Basterds,2009,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",CAST IN A MOTION PICTURE,True
